date, time, event_title, link
Feb 9 2018, 7:00 PM, New York Islanders vs. Detroit Red Wings, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-detroit-red-wings-2018-02-09
Feb 6 2018, 7:30 PM, Brooklyn Nets vs. Houston Rockets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-houston-rockets-2018-02-06
Feb 5 2018, 7:00 PM, New York Islanders vs. Nashville Predators, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-nashville-predators-2018-02-05
Feb 4 2018, 12:00 PM, Brooklyn Nets vs. Milwaukee Bucks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-milwaukee-bucks-2018-02-04
Feb 3 2018, 7:00 PM, New York Islanders vs. Columbus Blue Jackets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-columbus-blue-jackets-2018-02-03
Feb 2 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Lakers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-lakers-2018-02-02
Jan 31 2018, 7:30 PM, Brooklyn Nets vs. Philadelphia 76ers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-philadelphia-76ers-2018-01-31
Jan 30 2018, 7:00 PM, New York Islanders vs. Florida Panthers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-florida-panthers-2018-01-30
Jan 27 2018, 8:00 PM, Above & Beyond, https://www.barclayscenter.com/events/detail/above-beyond-2018
Jan 22 2018, 7:30 PM, WWE Monday Night RAW 25th Anniversary, https://www.barclayscenter.com/events/detail/wwe-monday-night-raw-2018-01-22
Jan 20 2018, 5:30 PM, Errol Spence Jr. vs. Lamont Peterson, https://www.barclayscenter.com/events/detail/errol-spence-jr-vs-lamont-peterson-2018
Jan 19 2018, 7:30 PM, Brooklyn Nets vs. Miami Heat, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-miami-heat-2018-01-19
Jan 18 2018, 7:00 PM, New York Islanders vs. Boston Bruins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-boston-bruins-2018-01-18
Jan 17 2018, 7:30 PM, Brooklyn Nets vs. San Antonio Spurs, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-san-antonio-spurs-2018-01-17
Jan 16 2018, 7:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-01-16
Jan 15 2018, 3:00 PM, Brooklyn Nets vs. New York Knicks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-york-knicks-2018-01-15
Jan 12 2018, 8:00 PM, The Comedy Get Down, https://www.barclayscenter.com/events/detail/the-comedy-get-down-2018
Jan 10 2018, 7:30 PM, Brooklyn Nets vs. Detroit Pistons, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-detroit-pistons-2018-01-10
Jan 9 2018, 8:00 PM, The Killers, https://www.barclayscenter.com/events/detail/the-killers-2018
Jan 8 2018, 7:30 PM, Brooklyn Nets vs. Toronto Raptors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-toronto-raptors-2018-01-08
Jan 7 2018, 1:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-01-07
Jan 6 2018, 6:00 PM, Brooklyn Nets vs. Boston Celtics, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-boston-celtics-2018-01-06
Jan 5 2018, 7:00 PM, New York Islanders vs. Pittsburgh Penguins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-pittsburgh-penguins-2018-01-05
Jan 3 2018, 7:30 PM, Brooklyn Nets vs. Minnesota Timberwolves, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-minnesota-timberwolves-2018-01-03
